city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Guipos,Litan,children 13-16 years old not attending high school,25,59.5,29,15,14,50,48.4,51.9
Guipos,Litan,children 6-16 years old not attending school,8,11.9,9,3,6,6,3.9,8.1
Guipos,Magting,children 6-12 years old not attending elementary,9,24.3,10,4,6,17.2,15.4,18.8
Guipos,Magting,children 13-16 years old not attending high school,13,43.3,18,8,10,47.4,42.1,52.6
Guipos,Magting,children 6-16 years old not attending school,10,21.3,15,7,8,15.6,15.6,15.7
Josefina,Bogo Calabat,children 6-12 years old not attending elementary,41,46.1,46,25,21,27.9,28.4,27.3
Josefina,Bogo Calabat,children 13-16 years old not attending high school,39,61.9,46,31,15,54.8,70.5,37.5
Josefina,Bogo Calabat,children 6-16 years old not attending school,33,30.8,42,31,11,16.9,23.5,9.4
Josefina,Dawa (Diwa),children 6-12 years old not attending elementary,32,38.1,39,17,22,27.3,24.6,29.7
Josefina,Dawa (Diwa),children 13-16 years old not attending high school,26,41.3,27,19,8,35.5,50,21.1
Josefina,Dawa (Diwa),children 6-16 years old not attending school,16,15.2,22,14,8,10,13.1,7.1
Josefina,Ebarle,children 6-12 years old not attending elementary,13,35.1,15,5,10,20.8,12.5,31.3
Josefina,Ebarle,children 13-16 years old not attending high school,23,79.3,32,19,13,74.4,82.6,65
Josefina,Ebarle,children 6-16 years old not attending school,16,35.6,23,9,14,20,14.3,26.9
Josefina,Upper Bagong Tudela Poblacion,children 6-12 years old not attending elementary,51,34,61,33,28,24.9,27.3,22.6
Josefina,Upper Bagong Tudela Poblacion,children 13-16 years old not attending high school,62,53.9,79,36,43,50.3,50.7,50
Josefina,Upper Bagong Tudela Poblacion,children 6-16 years old not attending school,43,22.8,56,26,30,13.9,13.5,14.3
Josefina,Leonardo,children 6-12 years old not attending elementary,30,52.6,41,18,23,40.6,39.1,41.8
Josefina,Leonardo,children 13-16 years old not attending high school,20,57.1,26,15,11,53.1,51.7,55
