city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Kahayagan East (Katipunan),members 6-16 years old,117,61.6,243,118,125,28.8,28.6,29
Aurora,Kahayagan East (Katipunan),members 10 years old and above,190,100,632,307,325,75,74.5,75.4
Aurora,Kahayagan East (Katipunan),members of the labor force,176,92.6,270,202,68,32,49,15.8
Aurora,Kahayagan West,population,165,-,709,377,332,100,53.2,46.8
Aurora,Kahayagan West,average household size,4,-,-,-,-,-,-,-
Aurora,Kahayagan West,children 0-5 years old,67,40.6,93,52,41,13.1,13.8,12.3
Aurora,Kahayagan West,children 6-12 years old,78,47.3,135,70,65,19,18.6,19.6
Aurora,Kahayagan West,members 13-16 years old,60,36.4,78,41,37,11,10.9,11.1
Aurora,Kahayagan West,members 6-16 years old,101,61.2,213,111,102,30,29.4,30.7
Aurora,Kahayagan West,members 10 years old and above,165,100,535,287,248,75.5,76.1,74.7
Aurora,Kahayagan West,members of the labor force,156,94.5,257,183,74,36.2,48.5,22.3
Bayog,Baking,population,48,-,222,123,99,100,55.4,44.6
Bayog,Baking,average household size,5,-,-,-,-,-,-,-
Bayog,Baking,children 0-5 years old,16,33.3,22,8,14,9.9,6.5,14.1
Bayog,Baking,children 6-12 years old,22,45.8,39,25,14,17.6,20.3,14.1
Bayog,Baking,members 13-16 years old,18,37.5,27,15,12,12.2,12.2,12.1
Bayog,Baking,members 6-16 years old,28,58.3,66,40,26,29.7,32.5,26.3
Bayog,Baking,members 10 years old and above,48,100,182,107,75,82,87,75.8
Bayog,Baking,members of the labor force,47,97.9,69,62,7,31.1,50.4,7.1
Bayog,Balukbahan,population,246,-,1186,635,549,100,53.5,46.3
Bayog,Balukbahan,average household size,5,-,-,-,-,-,-,-
Bayog,Balukbahan,children 0-5 years old,78,31.7,117,53,64,9.9,8.3,11.7
Bayog,Balukbahan,children 6-12 years old,115,46.7,190,107,83,16,16.9,15.1
Bayog,Balukbahan,members 13-16 years old,110,44.7,143,72,71,12.1,11.3,12.9
Bayog,Balukbahan,members 6-16 years old,154,62.6,333,179,154,28.1,28.2,28.1
Bayog,Balukbahan,members 10 years old and above,246,100,969,519,449,81.7,81.7,81.8
Bayog,Balukbahan,members of the labor force,243,98.8,348,326,22,29.3,51.3,4
Bayog,Balumbunan,population,75,-,382,202,180,100,52.9,47.1
Bayog,Balumbunan,average household size,5,-,-,-,-,-,-,-
Bayog,Balumbunan,children 0-5 years old,30,40,45,13,32,11.8,6.4,17.8
Bayog,Balumbunan,children 6-12 years old,40,53.3,85,51,34,22.3,25.2,18.9
Bayog,Balumbunan,members 13-16 years old,40,53.3,55,27,28,14.4,13.4,15.6
Bayog,Balumbunan,members 6-16 years old,52,69.3,140,78,62,36.6,38.6,34.4
